Area,Point,Longitude,Latitude
Hawaiian_Islands,32,-156.351666667,15.6769444444
Hawaiian_Islands,33,-155.371111111,15.6266666667
Hawaiian_Islands,34,-154.776944444,15.7294444444
Hawaiian_Islands,35,-154.218055556,15.9255555556
Hawaiian_Islands,36,-152.819722222,16.7741666667
Hawaiian_Islands,37,-152.008888889,17.5616666667
Hawaiian_Islands,38,-151.506666667,18.5044444444
Hawaiian_Islands,39,-151.371388889,19.0463888889
Hawaiian_Islands,40,-151.329722222,19.5794444444
Hawaiian_Islands,41,-151.382777778,20.1283333333
Hawaiian_Islands,42,-151.526666667,20.6452777778
Hawaiian_Islands,43,-151.997222222,21.4858333333
Hawaiian_Islands,44,-152.523611111,22.1161111111
Hawaiian_Islands,45,-153.009166667,22.5483333333
